***SENSOR SELECTION,,,,
CH 1-Voltage(±1V),,,,
CH 2-Voltage(±1V),,,,
CH 3-Voltage(±1V),,,,
INTERNAL,,,,
*** Sampling Rate ,,,,
1 Data Per 10 Secs,,,,
*** Duration to Monitor  ,,,,
5 Hours (Stopped before 4h),,,,
Time(s),V1,V2,V3,°C
1300,-0.003195,0.823216,0.195953,20.5859
1310,-0.003727,0.823216,0.198083,20.5859
1320,-0.00213,0.823216,0.198615,20.5859
1330,-0.002662,0.823216,0.200745,20.5859
1340,-0.003727,0.823216,0.202343,20.5859
1350,-0.00213,0.823216,0.205005,20.5859
1360,-0.00213,0.823216,0.207135,20.5859
1370,-0.003195,0.823216,0.207668,20.5859
1380,-0.00213,0.823216,0.208733,20.5859
1390,-0.001597,0.823216,0.213525,20.5859
1400,-0.00213,0.823216,0.217785,20.5859
1410,-0.003195,0.824813,0.219915,20.5859
1420,-0.00213,0.823216,0.220447,20.5859
1430,-0.00213,0.823216,0.22098,20.5859
1440,-0.00213,0.823216,0.221512,20.5859
1450,-0.00213,0.823749,0.224707,20.6665
1460,-0.002662,0.823216,0.226304,20.5859
1470,-0.003727,0.823216,0.227902,20.5859
1480,-0.003195,0.823216,0.227902,20.5859
1490,-0.003195,0.823749,0.230032,20.5859
1500,-0.002662,0.823216,0.232162,20.5859
1510,-0.003727,0.823216,0.234292,20.5859
1520,-0.003195,0.823216,0.235889,20.5859
1530,-0.003195,0.823216,0.237487,20.5859
1540,-0.00213,0.823216,0.238551,20.5859
1550,-0.003195,0.823216,0.241746,20.5859
1560,-0.00213,0.823216,0.247071,20.5859
1570,-0.00213,0.823216,0.247604,20.5859
1580,-0.003727,0.823216,0.250266,20.6665
1590,-0.002662,0.823216,0.250799,20.5859
1600,-0.00213,0.823216,0.251864,20.6665
1610,-0.003727,0.823216,0.254526,20.5859
1620,-0.00213,0.823216,0.257188,20.5859
1630,-0.002662,0.823216,0.257188,20.6665
1640,-0.00213,0.823216,0.257188,20.6665
1650,-0.003727,0.823216,0.257721,20.5859
1660,-0.00213,0.823216,0.259318,20.5859
1670,-0.003195,0.823216,0.261448,20.6665
1680,-0.00213,0.823216,0.262513,20.5859
1690,-0.00426,0.823216,0.263578,20.5859
1700,-0.002662,0.823216,0.263046,20.5859
1710,-0.00213,0.823216,0.264643,20.5859
1720,-0.003195,0.823216,0.265708,20.5859
1730,-0.003195,0.822151,0.269435,20.6665
1740,-0.002662,0.813099,0.269968,20.5859
1750,-0.002662,0.815761,0.269968,20.5859
1760,-0.001597,0.679979,0.268903,20.6665
1770,-0.00213,0.720447,0.269435,20.5859
1780,-0.003727,0.746006,0.273695,20.6665
1790,-0.003195,0.817359,0.27476,20.7471
1800,-0.00213,0.795527,0.275293,20.6665
1810,-0.002662,0.781682,0.28115,20.7471
1820,-0.002662,0.79393,0.28541,20.7471
1830,-0.002662,0.809904,0.285942,20.6665
1840,-0.002662,0.76837,0.285942,20.6665
1850,-0.00213,0.692758,0.284345,20.7471
1860,-0.00213,0.550053,0.285942,20.6665
1870,-0.003195,0.477103,0.288072,20.6665
1880,-0.00213,0.505857,0.286475,20.7471
1890,-0.00213,0.402023,0.28754,20.6665
1900,-0.002662,0.438232,0.286475,20.6665
1910,-0.00213,0.510649,0.294995,20.7471
1920,-0.002662,0.625133,0.294995,20.6665
1930,-0.00213,0.684238,0.29393,20.6665
1940,-0.002662,0.748136,0.292332,20.7471
1950,-0.00213,0.754526,0.292865,20.6665
1960,-0.00213,0.753461,0.2918,20.7471
1970,-0.00213,0.739616,0.293397,20.7471
1980,-0.003195,0.589457,0.292332,20.7471
1990,-0.003727,0.50639,0.29393,20.7471
2000,-0.002662,0.471778,0.300319,20.6665
2010,-0.00213,0.503727,0.302982,20.6665
2020,-0.00213,0.809372,0.304579,20.7471
2030,-0.002662,0.821619,0.305644,20.6665
2040,-0.00213,0.808307,0.305644,20.7471
2050,-0.002662,0.821619,0.304047,20.6665
2060,-0.002662,0.722045,0.304047,20.7471
2070,-0.00213,0.592652,0.305112,20.6665
2080,-0.00213,0.579872,0.305112,20.6665
2090,-0.00213,0.604899,0.305112,20.6665
2100,-0.00213,0.576145,0.306709,20.6665
2110,-0.00213,0.606496,0.306177,20.6665
2120,-0.00213,0.646965,0.307774,20.7471
2130,-0.002662,0.699148,0.310436,20.6665
2140,-0.003195,0.674654,0.315229,20.6665
2150,-0.001597,0.736954,0.320554,20.7471
2160,-0.00213,0.813631,0.318956,20.6665
2170,-0.003195,0.822684,0.319489,20.7471
2180,-0.00213,0.823749,0.322151,20.6665
2190,-0.00213,0.823749,0.322151,20.6665
2200,-0.002662,0.823216,0.323216,20.6665
2210,-0.003195,0.823749,0.322151,20.6665
2220,-0.002662,0.692226,0.321619,20.6665
2230,-0.003727,0.676784,0.323749,20.6665
2240,-0.003195,0.71672,0.332268,20.6665
2250,-0.00213,0.808307,0.334931,20.6665
2260,-0.00213,0.813099,0.332801,20.6665
2270,-0.00213,0.822684,0.331736,20.6665
2280,-0.002662,0.823216,0.328541,20.6665
2290,-0.003195,0.824281,0.326943,20.7471
2300,-0.002662,0.824813,0.328008,20.7471
2310,-0.00213,0.824813,0.327476,20.6665
2320,-0.00213,0.824813,0.326943,20.6665
2330,-0.003727,0.824813,0.328541,20.7471
2340,-0.002662,0.824813,0.330671,20.6665
2350,-0.00213,0.802982,0.332268,20.6665
2360,-0.003195,0.788605,0.331736,20.6665
2370,-0.002662,0.798722,0.335463,20.6665
2380,-0.00213,0.821619,0.344515,20.6665
2390,-0.003195,0.812566,0.348243,20.6665
2400,-0.00213,0.818424,0.354632,20.6665
2410,-0.003727,0.816294,0.361555,20.7471
2420,-0.002662,0.814164,0.374334,20.6665
2430,-0.001065,0.815761,0.390841,20.6665
2440,-0.00213,0.775825,0.391906,20.7471
2450,-0.00426,0.782747,0.392439,20.7471
2460,-0.00213,0.767838,0.395634,20.7471
2470,0.001597,0.765708,0.400958,20.7471
2480,-0.005325,0.801917,0.402023,20.7471
2490,-0.00213,0.823216,0.406816,20.7471
2500,-0.00213,0.817891,0.410011,20.7471
