***SENSOR SELECTION
CH 1-Voltage(�1V)
CH 2-Voltage(�1V)
INTERNAL
*** Sampling Rate 
1 Sample/s
*** Duration to Monitor  
5 Hours
Time(s),V1,V2,�C
136.000000,0.421193,0.613418,26.6284
137.000000,0.419063,0.615016,26.6284
138.000000,0.417465,0.616613,26.7090
139.000000,0.416400,0.618211,26.7090
140.000000,0.414803,0.619808,26.7090
141.000000,0.413738,0.620873,26.7090
142.000000,0.412140,0.622471,26.7090
143.000000,0.411075,0.624068,26.7090
144.000000,0.408945,0.625133,26.7090
145.000000,0.407881,0.626730,26.7090
146.000000,0.406816,0.628328,26.7090
147.000000,0.405751,0.629393,26.7090
148.000000,0.405218,0.630458,26.7090
149.000000,0.404153,0.632055,26.7090
150.000000,0.403088,0.633120,26.7090
151.000000,0.402023,0.634185,26.7895
152.000000,0.401491,0.635783,26.7895
153.000000,0.400958,0.636848,26.7895
154.000000,0.399893,0.638445,26.7895
155.000000,0.403088,0.639510,26.7895
156.000000,0.410011,0.640575,26.7895
157.000000,0.407348,0.641640,26.7895
158.000000,0.392971,0.643237,26.7895
159.000000,0.384984,0.644302,26.7895
160.000000,0.380191,0.645367,26.7895
161.000000,0.377529,0.646965,26.7895
162.000000,0.375399,0.648030,26.7895
163.000000,0.373802,0.649095,26.7895
164.000000,0.372204,0.650160,26.7895
165.000000,0.371139,0.651225,26.7895
166.000000,0.369542,0.652289,26.7895
167.000000,0.367944,0.653887,26.7895
168.000000,0.366347,0.654952,26.7895
169.000000,0.365282,0.656017,26.7895
170.000000,0.364750,0.657082,26.7895
171.000000,0.363685,0.658147,26.7895
172.000000,0.362620,0.659744,26.7895
173.000000,0.362087,0.660809,26.7895
174.000000,0.360490,0.661874,26.7895
175.000000,0.358892,0.662939,26.8701
176.000000,0.357295,0.664004,26.8701
177.000000,0.356230,0.665069,26.8701
178.000000,0.354632,0.666134,26.8701
179.000000,0.353567,0.667199,26.8701
180.000000,0.351970,0.668264,26.8701
181.000000,0.350905,0.668796,26.8701
182.000000,0.350373,0.669861,26.8701
183.000000,0.349308,0.671459,26.8701
184.000000,0.349308,0.672524,26.8701
185.000000,0.348243,0.673056,26.8701
186.000000,0.347710,0.674121,26.8701
187.000000,0.346645,0.675186,26.8701
188.000000,0.346113,0.676251,26.8701
189.000000,0.345580,0.677316,26.9507
190.000000,0.345048,0.677849,26.9507
191.000000,0.344515,0.678914,26.9507
192.000000,0.343450,0.679979,26.9507
193.000000,0.343450,0.682108,26.9507
194.000000,0.342918,0.683173,26.9507
195.000000,0.342385,0.684238,26.9507
196.000000,0.341320,0.684771,26.9507
197.000000,0.341320,0.685836,26.9507
198.000000,0.340255,0.686368,26.9507
199.000000,0.340255,0.687433,26.9507
200.000000,0.339723,0.688498,26.9507
201.000000,0.339723,0.689031,26.9507
202.000000,0.339190,0.690096,26.9507
203.000000,0.339190,0.690628,26.9507
204.000000,0.338658,0.691693,26.9507
205.000000,0.338658,0.692226,26.9507
206.000000,0.338126,0.693291,26.9507
207.000000,0.338126,0.694356,26.9507
208.000000,0.338126,0.694356,26.9507
209.000000,0.337593,0.695420,27.0312
210.000000,0.337593,0.696485,27.0312
211.000000,0.337593,0.697018,27.0312
212.000000,0.337593,0.698083,27.0312
213.000000,0.337593,0.698083,27.0312
214.000000,0.337593,0.699148,27.0312
215.000000,0.337061,0.700213,27.0312
216.000000,0.337061,0.700213,27.0312
217.000000,0.337061,0.701278,27.0312
218.000000,0.337061,0.702343,27.0312
219.000000,0.337061,0.702343,27.0312
220.000000,0.337061,0.703408,27.0312
221.000000,0.337061,0.703940,27.0312
222.000000,0.337061,0.705005,27.0312
223.000000,0.337061,0.705005,27.0312
224.000000,0.337061,0.706070,27.0312
225.000000,0.337061,0.706603,27.0312
226.000000,0.337061,0.707135,27.0312
227.000000,0.337061,0.707668,27.0312
228.000000,0.337061,0.708200,27.0312
229.000000,0.337061,0.708733,27.0312
230.000000,0.337061,0.709265,27.0312
231.000000,0.337061,0.710330,27.0312
232.000000,0.337061,0.710330,27.0312
233.000000,0.337061,0.711395,27.0312
