***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 05-DEC-2022  12:37PM,,,,,
Time(s),V1,V2,V3,°C,Vavg
5460,0.767838,0.786475,0.766773,21.311,0.773695333
5520,0.767838,0.78541,0.765708,21.311,0.772985333
5580,0.767838,0.784345,0.764111,21.311,0.772098
5640,0.76837,0.783812,0.763046,21.311,0.771742667
5700,0.76837,0.782747,0.761981,21.2304,0.771032667
5760,0.76837,0.782215,0.760916,21.2304,0.770500333
5820,0.768903,0.78115,0.760383,21.2304,0.770145333
5880,0.768903,0.780085,0.759318,21.2304,0.769435333
5940,0.768903,0.779553,0.758253,21.2304,0.768903
6000,0.769435,0.778488,0.757188,21.2304,0.768370333
6060,0.769435,0.777955,0.756656,21.2304,0.768015333
6120,0.769435,0.77689,0.755591,21.2304,0.767305333
6180,0.769435,0.776358,0.755058,21.1499,0.766950333
6240,0.769435,0.775825,0.753993,21.1499,0.766417667
6300,0.768903,0.77476,0.752928,21.1499,0.765530333
6360,0.768903,0.774228,0.752396,21.2304,0.765175667
6420,0.767838,0.773163,0.751331,21.1499,0.764110667
6480,0.767838,0.77263,0.750266,21.1499,0.763578
6540,0.767305,0.771565,0.749201,21.2304,0.762690333
6600,0.766773,0.7705,0.748136,21.1499,0.761803
6660,0.766241,0.769968,0.747071,21.2304,0.761093333
6720,0.765708,0.768903,0.746006,21.1499,0.760205667
6780,0.765708,0.767838,0.744409,21.1499,0.759318333
6840,0.765176,0.766773,0.742811,21.1499,0.758253333
6900,0.764643,0.766241,0.740681,21.1499,0.757188333
6960,0.764111,0.765176,0.739084,21.1499,0.756123667
7020,0.764111,0.764643,0.736954,21.1499,0.755236
7080,0.763578,0.763046,0.735357,21.1499,0.753993667
7140,0.763046,0.762513,0.733227,21.1499,0.752928667
7200,0.763046,0.761448,0.731629,21.0693,0.752041
7260,0.762513,0.760383,0.729499,21.0693,0.750798333
7320,0.761981,0.759318,0.727902,21.1499,0.749733667
7380,0.761981,0.758253,0.725239,21.1499,0.748491
7440,0.760916,0.757721,0.722577,21.1499,0.747071333
7500,0.760383,0.756123,0.720447,21.1499,0.745651
7560,0.760383,0.755591,0.719382,21.1499,0.745118667
7620,0.759851,0.754526,0.717785,21.0693,0.744054
7680,0.759851,0.753461,0.71672,21.0693,0.743344
7740,0.759318,0.752396,0.715655,21.1499,0.742456333
7800,0.758786,0.751331,0.71459,21.0693,0.741569
7860,0.758253,0.750266,0.713525,21.0693,0.740681333
7920,0.758253,0.749201,0.71246,21.0693,0.739971333
7980,0.757721,0.747604,0.711395,21.0693,0.738906667
8040,0.757188,0.746539,0.71033,21.0693,0.738019
8100,0.756656,0.745474,0.709265,21.0693,0.737131667
8160,0.755058,0.744409,0.7082,21.0693,0.735889
