***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 19-DEC-2022  11:54AM
Time(s),V,V,V,°C
7920,0.004260,0.910543,0.810969,21.5527
7980,-0.062300,0.910543,0.810969,21.5527
8040,-0.003195,0.913738,0.810969,21.6333
8100,0,0.911608,0.810969,21.5527
8160,-0.194888,0.912140,0.810969,21.5527
8220,-0.018104,0.911608,0.811501,21.5527
8280,0.007455,0.911608,0.812034,21.5527
8340,0.010117,0.912140,0.812034,21.5527
8400,0.009052,0.912673,0.811501,21.5527
8460,0.007455,0.912673,0.811501,21.5527
8520,0.007455,0.954206,0.811501,21.5527
8580,0.007987,0.947817,0.811501,21.5527
8640,0.007455,0.930777,0.812034,21.4721
8700,-0.038338,0.916400,0.812034,21.5527
8760,-0.004792,0.854100,0.811501,21.4721
8820,0.004260,0.833333,0.811501,21.4721
8880,0.003727,0.785410,0.811501,21.4721
8940,0.006390,0.819489,0.811501,21.4721
9000,0.005325,0.906283,0.811501,21.4721
9060,0.003195,0.983493,0.811501,21.4721
9120,0.002662,0.997870,0.811501,21.4721
9180,0.000532,0.990948,0.808307,21.4721
9240,0.001065,0.931310,0.806709,21.4721
9300,0,0.936102,0.810969,21.4721
9360,-0.004792,0.922257,0.811501,21.4721
9420,-0.005857,0.924388,0.811501,21.4721
9480,-0.004260,0.920660,0.811501,21.4721
9540,-0.002130,0.936102,0.810969,21.4721
9600,-0.002662,1.000000,0.811501,21.4721
9660,-0.005857,0.935037,0.810969,21.4721
9720,-0.005325,0.905751,0.810436,21.4721
9780,-0.003727,0.898828,0.808839,21.3916
9840,-0.003195,0.899361,0.809372,21.3916
9900,-0.004792,0.917998,0.810969,21.3916
9960,-0.005325,0.890841,0.810969,21.3916
10020,-0.005857,0.891906,0.810969,21.4721
10080,-0.006922,0.890841,0.810436,21.4721
10140,-0.006922,0.890841,0.810436,21.3916
10200,-0.007987,0.890841,0.810969,21.3916
10260,-0.008520,0.889776,0.810969,21.3916
10320,-0.007987,0.889244,0.810969,21.3916
10380,-0.007987,0.890309,0.811501,21.4721
10440,-0.008520,0.886049,0.811501,21.3916
10500,-0.009052,0.897231,0.811501,21.3110
10560,-0.010117,0.889776,0.811501,21.3916
10620,-0.010117,0.895634,0.812034,21.3916
10680,-0.010649,0.894569,0.812034,21.3916
10740,-0.011182,0.891374,0.812034,21.3916
10800,-0.011182,0.888711,0.812566,21.3916
10860,-0.011182,0.874334,0.812034,21.3916
10920,-0.011714,0.888179,0.812034,21.3916
10980,-0.011182,0.832801,0.812034,21.3916
11040,-0.012247,0.742811,0.809372,21.3916
11100,-0.013844,0.788072,0.809904,21.3916
11160,-0.014909,0.773695,0.809904,21.3110
11220,-0.013312,0.795527,0.810436,21.3110
11280,-0.013844,0.843450,0.811501,21.3916
11340,-0.011714,0.876464,0.811501,21.3916
11400,-0.051118,0.879659,0.812566,21.3916
11460,-0.014909,0.892971,0.813631,21.3916
11520,-0.006922,0.880192,0.813099,21.3110
11580,-0.009584,0.881257,0.812566,21.3110
11640,-0.012247,0.881789,0.813099,21.3916
11700,-0.013844,0.877529,0.809904,21.3916
11760,-0.013844,0.872737,0.813099,21.3916
11820,-0.014909,0.877529,0.814164,21.3110
11880,-0.015442,0.858360,0.814164,21.3110
11940,-0.015442,0.838126,0.814164,21.3916
12000,-0.015974,0.870074,0.814696,21.3916
12060,-0.015974,0.870074,0.865282,21.3110
12120,-0.015974,0.865815,0.820021,21.3110
12180,-0.016507,0.864217,0.820021,21.3110
12240,-0.017039,0.867944,0.819489,21.3110
12300,-0.017572,0.870074,0.820021,21.3110
12360,-0.018637,0.868477,0.820021,21.3916
12420,-0.021299,0.866347,0.820021,21.3110
12480,-0.017572,0.864750,0.820021,21.3110
12540,-0.017572,0.864217,0.820554,21.3110
12600,-0.026091,0.862087,0.820554,21.3110
12660,-0.013312,0.861022,0.820554,21.2304
12720,-0.015442,0.861022,0.820021,21.3110
12780,-0.017039,0.860490,0.820021,21.3110
12840,-0.018104,0.860490,0.818956,21.3110
12900,-0.019169,0.859425,0.819489,21.2304
12960,-0.020234,0.859425,0.819489,21.3110
13020,-0.020234,0.859425,0.818956,21.2304
13080,-0.020234,0.858360,0.819489,21.3110
13140,-0.020234,0.858360,0.819489,21.3110
13200,-0.020234,0.858360,0.820021,21.2304
