***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 12-DEC-2022  02:52PM
Time(s),V,V,V
10260,0.099041,0.828008,0.845048
10320,0.098509,0.827476,0.844515
10380,0.097976,0.826943,0.843983
10440,0.097444,0.826411,0.843450
10500,0.097444,0.826411,0.842918
10560,0.096911,0.826411,0.842385
10620,0.096379,0.826411,0.842385
10680,0.095314,0.825878,0.842385
10740,0.094781,0.825878,0.841853
10800,0.094249,0.825346,0.841853
10860,0.093717,0.824813,0.841320
10920,0.093184,0.824281,0.840788
10980,0.092652,0.823749,0.840788
11040,0.092119,0.823749,0.840255
11100,0.091587,0.823216,0.839723
11160,0.091054,0.823749,0.839190
11220,0.090522,0.823216,0.839190
11280,0.089989,0.822684,0.839190
11340,0.089457,0.822151,0.838658
11400,0.088924,0.821619,0.838658
11460,0.088392,0.820554,0.838658
11520,0.087859,0.819489,0.838658
11580,0.087327,0.818956,0.838658
11640,0.086794,0.817891,0.838126
11700,0.085729,0.817359,0.837593
11760,0.085197,0.817359,0.837061
11820,0.084132,0.816826,0.835996
11880,0.083067,0.816294,0.835463
11940,0.082534,0.816294,0.834931
12000,0.081469,0.816294,0.834398
12060,0.080937,0.816294,0.833866
12120,0.080404,0.815761,0.833333
12180,0.079872,0.815761,0.832801
12240,0.079872,0.815229,0.832801
12300,0.078807,0.814696,0.832268
12360,0.078275,0.814164,0.831736
12420,0.077742,0.813631,0.831736
12480,0.077210,0.812566,0.831203
12540,0.076145,0.812034,0.831203
12600,0.076145,0.810436,0.830671
12660,0.075612,0.809904,0.830138
12720,0.075080,0.808839,0.830138
12780,0.074547,0.807774,0.830138
12840,0.074547,0.807242,0.829606
12900,0.074015,0.806709,0.829606
12960,0.073482,0.806177,0.829606
13020,0.072950,0.805644,0.829606
13080,0.072950,0.805112,0.829073
13140,0.072417,0.805112,0.828541
13200,0.071885,0.804579,0.828541
13260,0.071885,0.804579,0.828008
13320,0.070820,0.804579,0.827476
13380,0.070820,0.804579,0.826943
13440,0.070287,0.804579,0.826411
13500,0.069755,0.804047,0.825878
13560,0.069222,0.803514,0.825346
13620,0.068690,0.802982,0.824281
13680,0.068690,0.802449,0.823216
13740,0.068157,0.801917,0.822151
13800,0.068157,0.800852,0.821086
13860,0.067625,0.799787,0.820021
13920,0.067092,0.798189,0.819489
13980,0.067092,0.797124,0.818424
14040,0.066560,0.796059,0.817891
14100,0.066027,0.794995,0.816826
14160,0.065495,0.793930,0.816294
14220,0.064963,0.792865,0.815761
14280,0.064430,0.792332,0.815229
14340,0.063365,0.791800,0.815229
14400,0.063365,0.791267,0.814696
14460,0.062833,0.790735,0.814164
14520,0.062300,0.789137,0.813099
14580,0.061768,0.788605,0.813631
14640,0.061235,0.787007,0.813099
14700,0.061235,0.785410,0.813099
